DEBUG 2025-07-27 17:41:17,396 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\http.py first seen with mtime 1753647577.7400985
DEBUG 2025-07-27 17:41:17,396 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1753647569.23297
DEBUG 2025-07-27 17:41:17,396 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1753647510.0353885
DEBUG 2025-07-27 17:41:17,401 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1753647565.603444
DEBUG 2025-07-27 17:41:17,401 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1753647578.3838065
DEBUG 2025-07-27 17:41:17,401 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1753647577.4436362
DEBUG 2025-07-27 17:41:17,406 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\html\entities.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,406 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1753647371.8740122
DEBUG 2025-07-27 17:41:17,411 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1753647444.9139438
DEBUG 2025-07-27 17:41:17,416 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1753647577.3937657
DEBUG 2025-07-27 17:41:17,416 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1753647372.078863
DEBUG 2025-07-27 17:41:17,416 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\templatetags\static.py first seen with mtime 1753647576.3337843
DEBUG 2025-07-27 17:41:17,416 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1753647570.7635553
DEBUG 2025-07-27 17:41:17,416 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1753647577.8252616
DEBUG 2025-07-27 17:41:17,422 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1753647432.897595
DEBUG 2025-07-27 17:41:17,422 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\signing.py first seen with mtime 1753647562.0579977
DEBUG 2025-07-27 17:41:17,422 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\header.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,422 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1753647564.0605018
DEBUG 2025-07-27 17:41:17,431 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\inspect.py first seen with mtime 1753647577.7886243
DEBUG 2025-07-27 17:41:17,434 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\hmac.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,434 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\parser.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,434 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\staggered.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,434 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\http\cookies.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,434 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\__init__.py first seen with mtime 1753647561.923529
DEBUG 2025-07-27 17:41:17,434 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1753647569.5637362
DEBUG 2025-07-27 17:41:17,441 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\datetime.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,441 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\prj_lojavirtual\main\models.py first seen with mtime 1753647896.5834475
DEBUG 2025-07-27 17:41:17,441 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1753647563.0438352
DEBUG 2025-07-27 17:41:17,441 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\_weakrefset.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,441 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\choices.py first seen with mtime 1753647577.1597614
